iter	Passed	Remaining
780	17229	4831
781	17252	4809
782	17273	4787
783	17294	4764
784	17316	4742
785	17335	4719
786	17356	4697
787	17376	4674
788	17397	4652
789	17416	4629
790	17438	4607
791	17461	4585
792	17480	4563
793	17500	4540
794	17520	4517
795	17540	4495
796	17562	4473
797	17583	4451
798	17605	4428
799	17626	4406
800	17646	4384
801	17669	4362
802	17691	4340
803	17711	4317
804	17731	4295
805	17752	4272
806	17773	4250
807	17794	4228
808	17814	4205
809	17834	4183
810	17856	4161
811	17877	4139
812	17899	4117
813	17919	4094
814	17938	4071
815	17959	4049
816	17980	4027
817	18000	4005
818	18021	3982
819	18040	3960
820	18061	3937
821	18083	3915
822	18104	3893
823	18124	3871
824	18144	3848
825	18165	3826
826	18185	3804
827	18206	3781
828	18225	3759
829	18246	3737
830	18268	3715
831	18289	3693
832	18310	3670
833	18331	3648
834	18351	3626
835	18372	3604
836	18392	3581
837	18413	3559
838	18434	3537
839	18455	3515
840	18475	3492
841	18498	3471
842	18519	3449
843	18540	3426
844	18561	3404
845	18582	3382
846	18603	3360
847	18623	3338
848	18643	3315
849	18663	3293
850	18684	3271
851	18713	3250
852	18740	3229
853	18769	3208
854	18794	3187
855	18820	3166
856	18842	3144
857	18866	3122
858	18887	3100
859	18910	3078
860	18932	3056
861	18952	3034
862	18972	3011
863	18994	2989
864	19014	2967
865	19035	2945
866	19055	2923
867	19076	2901
868	19096	2878
869	19119	2856
870	19140	2834
871	19162	2812
872	19183	2790
873	19204	2768
874	19226	2746
875	19247	2724
876	19266	2702
877	19287	2679
878	19307	2657
879	19329	2635
880	19349	2613
881	19369	2591
882	19389	2569
883	19410	2547
884	19431	2525
885	19452	2502
886	19472	2480
887	19494	2458
888	19516	2436
889	19538	2414
890	19560	2392
891	19581	2370
892	19601	2348
893	19623	2326
894	19643	2304
895	19663	2282
896	19683	2260
897	19711	2238
898	19763	2220
899	19790	2198
900	19815	2177
901	19838	2155
902	19860	2133
903	19880	2111
904	19902	2089
905	19924	2067
906	19945	2045
907	19966	2023
908	19991	2001
909	20011	1979
910	20033	1957
911	20055	1935
912	20076	1913
913	20096	1890
914	20117	1868
915	20138	1846
916	20158	1824
917	20181	1802
918	20204	1780
919	20224	1758
920	20246	1736
921	20267	1714
922	20288	1692
923	20309	1670
924	20330	1648
925	20349	1626
926	20370	1604
927	20391	1582
928	20414	1560
929	20436	1538
930	20457	1516
931	20480	1494
932	20505	1472
933	20528	1450
934	20555	1428
935	20581	1407
936	20609	1385
937	20636	1364
938	20658	1342
939	20678	1319
940	20700	1297
941	20722	1275
942	20742	1253
943	20765	1231
944	20787	1209
945	20809	1187
946	20832	1165
947	20853	1143
948	20874	1121
949	20894	1099
950	20915	1077
951	20935	1055
952	20956	1033
953	20975	1011
954	20996	989
955	21016	967
956	21038	945
957	21058	923
958	21079	901
959	21099	879
960	21119	857
961	21140	835
962	21159	812
963	21180	790
964	21200	768
965	21221	746
966	21243	724
967	21264	702
968	21285	680
969	21305	658
970	21326	636
971	21346	614
972	21367	592
973	21388	570
974	21409	548
975	21428	526
976	21450	504
977	21471	483
978	21492	461
979	21513	439
980	21533	417
981	21553	395
982	21574	373
983	21593	351
984	21614	329
985	21635	307
986	21658	285
987	21679	263
988	21699	241
989	21721	219
990	21743	197
991	21764	175
992	21784	153
993	21804	131
994	21824	109
995	21845	87
996	21868	65
997	21889	43
998	21909	21
999	21929	0
